Korean,English,Syn
가야대학교,Kaya University,"加耶大學校, 가야대학, 가야대, Kaya University, 加耶大學, 加耶大"
가천대학교,Gachon University,"가천대학, Gachon University, 嘉泉大, 가천대, 嘉泉大學校, 嘉泉大學"
가톨릭관동대학교,Catholic Kwandong University,"가톨릭關東大學校, 관동대학교, Catholic Kwandong University, 가톨릭關東大學, Kwandong University, 관동대학, 가톨릭관동대학, 關東大學, 關東大學校, 가톨릭관동대, 관동대, 關東大, 가톨릭關東大"
가톨릭대학교,The Catholic University of Korea,"가톨릭대학, 가톨릭大學, Catholic University of Korea, 가톨릭대, The Catholic University of Korea, 가톨릭大學校, 가톨릭大, 카톨릭대학교, 카톨릭대, 카톨릭대학"
가톨릭상지대학교,Catholic Sangji College,"CATHOLIC SANGJI COLLEGE, 加圖立上智大學, 가톨릭상지대학, 加圖立上智大學校, 加圖立上智大, 가톨릭상지대"
감리교신학대학교,Methodist Theological University,"감리교신학대학, 監理敎神學大學, 감리교신학대, Methodist Theological University, 監理敎神學大學校, 監理敎神學大"
강남대학교,Kangnam University,"KANGNAM University, 강남대, 江南大學校, 강남대학, 장난대학교, Jiangnan University, 江南大學, 江南大"
강동대학교,Gangdong University,"江東大學校, 江東大, KangDong university, 江東大學, GANGDONG COLLEGE, 강동대학, 강동대"
강릉영동대학교,Gangneung Yeongdong University,"GANGNEUNG YEONGDONG COLLEGE, 江陵嶺東大學, 江陵嶺東大學校, 강릉영동대, Gang Neung Yeong Dong College, 강릉영동대학, 江陵嶺東大, 영동대학교"
강릉원주대학교,Gangneung-Wonju National University,"原州大學, 강릉원주대, 원주대, 강릉원주대학, 원주대학, 原州大, Wonju College, 江陵原州大, 江陵原州大學, Gangneung-Wonju National University, 江陵原州大學校, Wonju National College, 국립강릉원주대학교"
강원관광대학교,Kangwon Tourism College,"Kangwon Tourism College, 江原觀光大學校, 강원관광대, 江原觀光大學, 강원관광대학, 江原觀光大"
강원대학교,Kangwon National Universtiy,"江原大學, 국립강원대, 강원대, 국립강원대학, Kangwon National University, 江原大, 江原大學校, 강원대학, 국립강원대학교"
강원도립대학교,Gangwon State University,"江原道立大學校, Gangwon Provincial College, 江原道立大, 강원도립대학, Gangwon State University, 강원도립대, 江原道立大學"
개신대학원대학교,Reformed Graduate University,"Reformed Graduate University, 改神大學院大, 改神大學院大學, 改神大學院大學校, Reformed Theological Seminary, 개신대학원대학, 개신대학원대"
거제대학교,Koje College,"巨濟大學, 巨濟大, 거제대학, KOJE COLLEGE, 거제대"
건국대학교,Konkuk Universtiy,"建國大學校, 建國大學, 건국대, 건국대학, KONKUK UNIVERSITY, 建國大, 건국대학교(글로컬)"
건신대학원대학교,Asia Life University,"建信大學院大, 建信大學院大學, 建信大學院大學校, 건신대학원대, Asia LIFE University, 건신대학원대학"
건양대학교,Konyang Universtiy,"建陽大, 건양대, 建陽大學, 건양대학, KONYANG UNIVERSITY, 建陽大學校"
건양사이버대학교,Konyang Cyber University,"Konyang Cyber University, 建陽사이버大, 건양사이버대, 建陽사이버大學校, 건양사이버대학, 建陽사이버大學"
경기과학기술대학교,Gyeonggi College of Science and Technology,"Gyeonggi College of Science and Technology, 京畿科學技術大學校, 京畿科學技術大學, 京畿科學技術大, 경기과학기술대학, 경기과학기술대"
